ns
26
48
20
48
21
49
21
48
21
48
21
49
21
48
20
48
21
48
21
48
21
50
21
48
21
50
21
48
21
49
21
49
21
49
21
49
22
50
21
48
22
49
21
49
21
49
21
49
21
48
20
48
21
48
22
48
21
50
21
49
21
49
21
49
21
49
21
49
21
49
21
48
21
48
21
49
21
48
21
48
21
48
20
48
21
48
21
49
21
49
21
49
21
49
21
50
21
49
21
48
